Transaction_ID,Transaction_Date,Customer_ID,Product_Name,Quantity,Quantity Audit Check,Price,Price Audit Check,Payment_Method,Transaction_Status,Business Rule Check
T00001,Valid,C2205,Headphones,-5.0,Negative Value,420.0,Valid,PayPal,Unknown,Valid Ledger Row
T00002,Valid,C3156,Coffee Machine,469.0,Valid,-445.0,Valid,Credit Card,Pending,Valid Ledger Row
T00003,Invalid Date,C2919,Tablet,-4.0,Negative Value,811.0,Valid,Credit Card,Completed,Anomaly: Completed Return
T00004,Valid,C3009,Tablet,-7.0,Negative Value,869.0,Valid,PayPal,Pending,Valid Ledger Row
T00005,Invalid Date,C3488,Coffee Machine,-10.0,Negative Value,-763.0,Valid,PayPal,Completed,Anomaly: Completed Return
T00006,Valid,C4241,Smartphones,598.0,Valid,,Blank,PayPal,Completed,Valid Ledger Row
T00007,Invalid Date,C1313,Laptop,10.0,Valid,,Blank,Credit Card,Completed,Valid Ledger Row
T00008,Invalid Date,C4736,Headphones,669.0,Valid,-87.0,Valid,Cash,Unknown,Valid Ledger Row
T00009,Blank,C3387,Tablet,10.0,Valid,462.0,Valid,PayPal,Unknown,Valid Ledger Row
T00010,Invalid Date,C2846,Laptop,-1.0,Negative Value,405.0,Valid,Credit Card,Pending,Valid Ledger Row
T00011,Invalid Date,C1004,Laptop,10.0,Valid,-601.0,Valid,PayPal,Completed,Valid Ledger Row
T00012,Invalid Date,C2912,Tablet,608.0,Valid,,Blank,PayPal,Completed,Valid Ledger Row
T00013,Valid,C1692,Smartphones,564.0,Valid,,Blank,Cash,Completed,Valid Ledger Row
T00014,Valid,C2992,Coffee Machine,696.0,Valid,906.0,Valid,Credit Card,Failed,Valid Ledger Row
T00015,Invalid Date,C3879,Headphones,-2.0,Negative Value,524.0,Valid,Credit Card,Pending,Valid Ledger Row
T00016,Invalid Date,C2837,Laptop,-3.0,Negative Value,,Blank,Credit Card,Pending,Valid Ledger Row
T00017,Valid,C3776,Smartphones,236.0,Valid,-95.0,Valid,Credit Card,Pending,Valid Ledger Row
T00018,Invalid Date,C847,Coffee Machine,7.0,Valid,-108.0,Valid,Credit Card,Completed,Valid Ledger Row
T00019,Valid,C4871,Smartphones,,Blank,,Blank,PayPal,Pending,
T00020,Invalid Date,C1924,Headphones,-6.0,Negative Value,,Blank,PayPal,Unknown,Valid Ledger Row
T00021,Invalid Date,C1137,Coffee Machine,856.0,Valid,-489.0,Valid,Credit Card,Failed,Valid Ledger Row
T00022,Invalid Date,C3883,Smartphones,9.0,Valid,,Blank,Credit Card,Completed,Valid Ledger Row
T00023,Invalid Date,C4877,Tablet,538.0,Valid,-734.0,Valid,PayPal,Completed,Valid Ledger Row
T00024,Valid,C828,Coffee Machine,487.0,Valid,,Blank,Cash,Unknown,Valid Ledger Row
T00025,Valid,C4985,Tablet,114.0,Valid,277.0,Valid,PayPal,Unknown,Valid Ledger Row
